language,count
"{
  ""language"": []
}",368341
"{
  ""language"": [{
    ""name"": ""Python"",
    ""bytes"": ""823""
  }]
}",1215
"{
  ""language"": [{
    ""name"": ""JavaScript"",
    ""bytes"": ""204""
  }]
}",1081
"{
  ""language"": [{
    ""name"": ""C"",
    ""bytes"": ""50032""
  }, {
    ""name"": ""Makefile"",
    ""bytes"": ""718""
  }, {
    ""name"": ""Shell"",
    ""bytes"": ""8539""
  }]
}",1038
"{
  ""language"": [{
    ""name"": ""Python"",
    ""bytes"": ""157279""
  }, {
    ""name"": ""Shell"",
    ""bytes"": ""16430""
  }]
}",657
"{
  ""language"": [{
    ""name"": ""CSS"",
    ""bytes"": ""374650""
  }, {
    ""name"": ""HTML"",
    ""bytes"": ""143960""
  }, {
    ""name"": ""JavaScript"",
    ""bytes"": ""329274""
  }, {
    ""name"": ""Python"",
    ""bytes"": ""5734""
  }, {
    ""name"": ""Shell"",
    ""bytes"": ""350""
  }]
}",585
"{
  ""language"": [{
    ""name"": ""Objective-C"",
    ""bytes"": ""77660""
  }]
}",534
"{
  ""language"": [{
    ""name"": ""Objective-C"",
    ""bytes"": ""64374""
  }]
}",466
"{
  ""language"": [{
    ""name"": ""CSS"",
    ""bytes"": ""13680""
  }, {
    ""name"": ""HTML"",
    ""bytes"": ""4434""
  }]
}",439
"{
  ""language"": [{
    ""name"": ""CSS"",
    ""bytes"": ""63525""
  }, {
    ""name"": ""HTML"",
    ""bytes"": ""6266""
  }]
}",413
